"productId"	"productName"	"price"	"productDetails"	"description"	"merchantName"
"9110900000000000000"	"Crumbed Chicken Parmigiana - Workout Meals - Best Meal Delivery"	12.99	"Crumbed Chicken Parmigiana Our exquisitely prepared Chicken Parmigiana with Roasted Potatoes and Peas dish will improve your ..."	""	"Workout Meals"
"None"	"Beef Stroganoff | Products | Gym Meals Direct LARGE / PASTA"	13.9	"Our slow cooked beef stroganoff with a creamy mustard infused mushroom sauce over fettuccine pasta is ideal for those in a ..."	""	"Gym Meals Direct"
"369439000000000000"	"Strength Meals Co Spiced Pumpkin & Lentil High Protein Soup 400g"	5.5	""	""	"Woolworths"
"None"	"Retort Ready to eat meal Travel food with warmer Halal High Protein real food combo of 4"	89.01	"HALALAN TOYYIBAN READY-TO-EAT MEAL SELF-HEATING MEAL NO PRESERVATIVES ALL NATURAL INGREDIENTS 2?? YEARS SHELF LIFE with ..."	""	"Etsy - KAIsister"
"None"	"Dill and Garlic Responsibly Fished Barramundi with Season Veggies 400g (NDIS) Standard / 400g Standard / Normal Calorie/Protein by A Life Plus (A+)"	4.0	"Dish Macros: Dish Size Energy Protein Fat Carbs 250g KJ CAL 31g 9g 8.9g 1040 249 400g 1870 447 50.3g 20.6g 12.2g Heating ..."	""	"alifeplus.com.au"
"None"	"Ultra 800 Meals / Starter Pack"	86.5	"800 kcal. All day energy. Radix version 8 Ultra meal range is the result of a focused design goal. Maximise energy density ..."	""	"Radix Nutrition Australia"
"None"	"Kangaroo & Chicken Meal Box Weekly box - 7 x 500g meals"	52.0	"Genetically, dogs are designed to digest animal proteins in their raw form. Their ancestors consumed the whole carcass ..."	""	"Az & Scottys"
"6444250000000000000"	"Pulled Roast Beef | Products | Gym Meals Direct Large / Potato Mash"	13.9	""	""	"Gym Meals Direct"
"None"	"Proganics Organic Keto Meal Replacement Trial Pack"	17.0	"Product Information You’ve probably heard of the keto diet and the amazing rapid weight loss results people have achieved by ..."	"Product Information You’ve probably heard of the keto diet and the amazing rapid weight loss results people have achieved by ..."	"Muscle Protein"
"12228500000000000000"	"Muscle Meal | 200g Chicken Breast with 200g Brown Rice"	12.5	"200g Chicken Breast marinated and cooked in a blend of lemon and herbs served with 200g Brown Rice. Serving 400g Calories 554 ..."	""	"athletesnutrition.com.au"
"None"	"Dineamic Low Calorie Bundle"	89.0	"10 balanced ready meals handpicked by our in-house nutritionists to assist with a low-calorie lifestyle. This fixed bundle ..."	""	"Dineamic"
"None"	"Feijoada | Plant-based Meals Delivery Australia"	14.95	"Feijoada is a plant-based meal cooked in a fully vegan kitchen. This meal is delivered fresh to Queensland, Northern Territory ..."	"Feijoada is a plant-based meal cooked in a fully vegan kitchen. This meal is delivered fresh to Queensland, Northern Territory ..."	"HerbiDoor"
"None"	"Redcon 1 MRE - Meal Replacement"	94.95	"Redcon 1 MRE - Meal Replacement Super Discount Supplements"	""	"Super Discount Supplements"
"5147360000000000000"	"Protein Pack"	68.0	"This is a great value meal pack for gym goers and anyone else looking for a regular selection of meat. The Protein Pack comes ..."	""	"Carina North Quality Meats"
"None"	"14 Meals"	184.95	"Our 14 Meal bundle is designed to provide you with healthy prepared meals to keep in the freezer, perfect for when you simply ..."	"Our 14 Meal bundle is designed to provide you with healthy prepared meals to keep in the freezer, perfect for when you simply ..."	"Be Fit Food"
"1741570000000000000"	"My Muscle Chef Chicken Pesto Pasta 330g"	10.95	"Since 2013 My Muscle Chef has been providing freshly prepared high protein meals to all Australians."	""	"The Cave Gym"
"None"	"Superfood Complete by Professional Whey"	38.0	"The pinnacle of meal replacement shakes. Superfood Complete is one of the most amazing nutrient dense shakes in the world. It ..."	"The pinnacle of meal replacement shakes. Superfood Complete is one of the most amazing nutrient dense shakes in the world. It ..."	"Professional Whey"
"None"	"Noopii Nappies 12-18kg N5 Walker 16 Pack 32"	14.99	"Buy Noopii Nappies 12-18kg N5 Walker 16 Pack from Harris Farm Markets Online. Browse through our huge range of groceries and ..."	""	"Harris Farm Markets"
"406110000000000000"	"Pulled Roast Beef | Products | Gym Meals Direct Small / Potato Mash"	11.9	""	""	"Gym Meals Direct"
"1415490000000000000"	"Fitness Outcomes Beef Chilli Con Carne Frozen Meal 350g"	8.5	""	""	"Woolworths"
"955123000000000000"	"Bondi Meal Prep - Free Range Chicken Breast - Keto"	12.9	"Regular (330g)"	""	"Bondi Meal Prep"
"4500200000000000000"	"BAKON Carbonara | Plant-Based Meals Delivery Australia"	12.95	"Creamy Bakon Carbonara is a high-protein plant-based version of a Bacon Carbonara, cooked in a fully vegan kitchen."	"Creamy Bakon Carbonara is a high-protein plant-based version of a Bacon Carbonara, cooked in a fully vegan kitchen."	"HerbiDoor"
"None"	"Deluxe Chicken & Quinoa Brown Rice - Workout Meals - Best Meal Delivery"	12.5	"Deluxe Chicken & Quinoa Brown Rice Chicken Breast with Quinoa brown rice. Ingredients: Chicken Breast36%, Vegetable Quinoa ..."	""	"Workout Meals"
"5296250000000000000"	"Bondi Meal Prep Beef Lasagne 350g"	12.9	""	""	"Woolworths"
"15052700000000000000"	"My Muscle Chef Chipotle Chicken Burrito Bowl 450 gram"	10.95	"Since 2013 My Muscle Chef has been providing freshly prepared high protein meals to all Australians."	""	"My Muscle Chef"
"None"	"Beef, Chicken & Kangaroo Meal Box Weekly box - 7 x 250g meals"	35.0	"Our Mixed Meal Box comes in either weekly, fortnightly or monthly options.... so no more running out of furry friend food and ..."	"Our Mixed Meal Box comes in either weekly, fortnightly or monthly options.... so no more running out of furry friend food and ..."	"Az & Scottys"
"None"	"28 Day Keto Meal Delivery | Be Fit Food"	334.95	"Our 28 Meal bundle is designed to provide you with healthy prepared meals to keep in the freezer, perfect for when you simply ..."	""	"Be Fit Food"
"7871920000000000000"	"Outdoor Gourmet Coq AU Vin"	12.44	"Add variety to your outdoor meals with the brand-new range from the Outdoor Gourmet Company! The Outdoor Gourmet Coq au Vin ..."	"Gluten-free · Entree · Beef · Chicken"	"Gearshop NZ"
"6862590000000000000"	"Massaman Salmon | Products | Gym Meals Direct Large / Pumpkin Mash & Bean"	14.9	"Thai Massaman-style salmon"	""	"Gym Meals Direct"
"None"	"High Protein Recipe Pack"	16.18	"Hitting Your Protein Goals Have NEVER Been So Easy with This High Protein Recipe Pack Filled with 54 Delicuous and Healthy ..."	""	"Etsy"
"None"	"Lotus LSA Meal GF 450g"	8.2	"Lotus LSA Meal is packed in Australia from a blend of imported and local ingredients. It comes in a 750 gm re-sealable oxygen ..."	""	"Wholefood Superstore"
"None"	"CUSTOM MEAL | Salmon 200g / 200g Brown Rice/Green Veg"	15.95	"CUSTOM MEAL | Salmon: Customise your protein and side dish. Macros Calories Carbs Fat Protein 150g Salmon 100g Brown Rice 415 ..."	""	"athletesnutrition.com.au"
"None"	"Outdoor Gourmet Company 2 Person Beef Bourguignon"	18.95	"Outdoor Gourmet Company 2 Person Beef Bourguignon Just add boiling water - no cooking required. The Outdoor Gourmet Company ..."	""	"www.aussiestormshop.com.au"
"None"	"Value 10 Complete Meal Box"	130.0	"Grab the Value 10 pack and you’ll get our top selling complete meals from our sister company, Dietlicious. Great tasting ..."	""	"Gourmet Dinner Service"
"None"	"Premium Formula By Dr Bob Roast Soup 3 X 10 Pack 55G Trio in Chicken Soup Wheyless"	119.0	"Delight your taste buds & support your health goals with Whey Less! Whey Less has been formulated by Dr Robert (Bob) Buist as ..."	"Delight your taste buds & support your health goals with Whey Less! Whey Less has been formulated by Dr Robert (Bob) Buist as ..."	"TVSN"
"None"	"Chicken Parmigiana with Arugula, Beans and Sweet Potatoes 400g (NDIS) Organic / 400g Vegetarian / Low Calorie/Protein by A Life Plus (A+)"	7.0	"Dish Macros: Dish Size Energy Protein Fat Carbs 250g KJ CAL 21.8g 37.9g 5g 1880 449 400g 3010 719 34.8g 60.6g 8g Heating ..."	""	"alifeplus.com.au"
"220405000000000000"	"Healthy Chef-Made Meals Delivered | 5 Meals"	59.5	"Where quality meets convenience, our handcrafted meals showcase the best fresh and local produce. Try our Everyday Wellness ..."	"Where quality meets convenience, our handcrafted meals showcase the best fresh and local produce. Try our Everyday Wellness ..."	"Chefgood"
"None"	"Beef, Chicken & Kangaroo Meal Box Weekly box - 7 x 500g meals"	48.0	"Our Mixed Meal Box comes in either weekly, fortnightly or monthly options.... so no more running out of furry friend food and ..."	"Our Mixed Meal Box comes in either weekly, fortnightly or monthly options.... so no more running out of furry friend food and ..."	"Az & Scottys"
"None"	"CUSTOM MEAL | Teriyaki Salmon 200g / 100g Brown Rice/Green Veg"	15.5	"CUSTOM MEAL | Salmon: Customise your protein and side dish. Macros Calories Carbs Fat Protein 150g Teriyaki Salmon 100g Brown ..."	""	"athletesnutrition.com.au"
"None"	"Weight Loss No Added Gluten Meals Delivered | 5 Meals"	57.5	"Choose 5 meals from our no added gluten menu. Try our weight loss meal plans with calorie-controlled meals (350 cal/meal ..."	""	"Chefgood"
"None"	"Bondi Meal Prep - New Zealand King Salmon - Keto"	14.9	"Regular (265g)"	""	"Bondi Meal Prep"
"15425000000000000000"	"Chef's Choice Australian Blanched Almond Meal - 400g"	11.6	"Good Source of Dietary Fibre and Protein. Made from ground premium Australian almonds and is fantastic for baking or desserts ..."	""	"Organic Gourmet Food Australia"
"10814600000000000000"	"Proganics 7 Day Plant Challenge"	174.99	"7 Day Plant Challenge Pack includes: 1 x Organic Plant Meal Replacement 750g 15 Serves 1 x Organic Greens Plus 300g 30 Serves ..."	"7 Day Plant Challenge Pack includes: 1 x Organic Plant Meal Replacement 750g 15 Serves 1 x Organic Greens Plus 300g 30 Serves ..."	"proganics"
"1661990000000000000"	"Radix Ultra 800 Plant-Based Peri-Peri"	15.47	"Designed for highly active individuals with increased energy demands. Ultra meals provide a balanced profile of protein ..."	"Protein · Amino Acids · Herbal · Supplements · Dairy-free · Gluten-free · Whey · Pea Protein · Plant-based · Energy"	"EquipOutdoors"
"None"	"Asian Sesame Chicken Salad with Peanuts 400g (NDIS) Standard / 400g Standard / High Calorie/Protein by A Life Plus (A+)"	4.0	"Dish Macros: Dish Size Energy Protein Fat Carbs 250g KJ CAL 19.7g 42g 5.2g 2050 490 400g 3270 782 32.2g 66.5g 8.8g Heating ..."	""	"alifeplus.com.au"
"5945480000000000000"	"Bondi Meal Prep Grass-Fed Beef Bolognese 325g"	12.9	""	""	"Woolworths"
"330973000000000000"	"Bondi Meal Prep - Free Range Chicken Thigh - Keto"	12.9	"Regular (330g)"	"Regular (330g)"	"Bondi Meal Prep"
"11383700000000000000"	"Radix Nutrition Keto 600 - Plant Based Peri-Peri"	13.48	"Providing a good source of protein, vitamins, and minerals whilst emphasising high-quality fats and limiting carbohydrates ..."	"Protein · Amino Acids · Herbal · Supplements · Dairy-free · Gluten-free · Keto · Weight Control · Adult · Unisex"	"Travel Universe Aus"
